,t,u,y
423,4.2342342342342345,-25.0,-19.08995289725373
424,4.2442442442442445,-25.0,-19.46423148746907
425,4.2542542542542545,-25.0,-19.821041284236202
426,4.2642642642642645,-25.0,-20.16102585789126
427,4.2742742742742745,-25.0,-20.484807226729743
428,4.2842842842842845,-25.0,-20.792986544401867
429,4.2942942942942945,-25.0,-21.086144765984976
430,4.3043043043043046,-25.0,-21.364843293383597
431,4.314314314314315,-25.0,-21.629624600687578
432,4.324324324324325,-25.0,-21.88101284010029
433,4.334334334334335,-25.0,-22.11951442902993
434,4.344344344344345,-25.0,-22.345618618919442
435,4.354354354354355,-25.0,-22.55979804637277
436,4.364364364364365,-25.0,-22.76250926711875
437,4.374374374374375,-25.0,-22.95419327333726
438,4.384384384384385,-25.0,-23.135275994856475
439,4.394394394394395,-25.0,-23.306168784714856
440,4.404404404404405,-25.0,-23.467268889566313
441,4.414414414414415,-25.0,-23.61895990539263
442,4.424424424424425,-25.0,-23.761612218973347
443,4.434434434434435,-25.0,-23.895583435549366
444,4.444444444444445,-25.0,-24.021218793103593
445,4.454454454454455,-25.0,-24.138851563669004
446,4.464464464464465,-25.0,-24.24880344206212
447,4.474474474474475,-25.0,-24.35138492242783
448,4.484484484484485,-25.0,-24.44689566296971
449,4.494494494494495,-25.0,-24.53562483922891
450,4.504504504504505,-25.0,-24.617851486263273
451,4.514514514514515,-25.0,-24.693844830068063
452,4.524524524524525,-25.0,-24.763864608569158
453,4.534534534534535,-25.0,-24.828161382509435
454,4.544544544544545,-25.0,-24.886976836539585
455,4.554554554554555,-25.0,-24.940544070814923
456,4.564564564564565,-25.0,-24.98908788339069
457,4.574574574574575,-25.0,-25.032825043699468
458,4.584584584584585,-25.0,-25.07196455738575
459,4.594594594594595,-25.0,-25.106707922764254
460,4.604604604604605,-25.0,-25.13724937916047
461,4.614614614614615,-25.0,-25.163776147384212
462,4.624624624624625,-25.0,-25.186468662579163
463,4.634634634634635,-25.0,-25.205500799684057
464,4.644644644644645,-25.0,-25.221040091734043
